Year;Month;Day;Site;Name;Pittag;Eartags;ID;2013;2014;2015;2016;2017;Age;survival;age_censored;status;Sex;Age 1st capture;comments
2014;2;12;1;dot;*096278321;;10;;1;1;0;0;2+;2;0;;2;1;
2014;2;13;1;bar;*096281772;;11;;1;1;0;0;2+;2;0;;1;1;
2014;2;13;1;stripe;*096309867;;12;;1;1;0;0;2+;2;0;;2;1;
2014;2;14;1;W;*096325045;;13;;1;1;0;0;2+;2;0;;1;1;
2014;2;14;1;X;*096336538;;14;4;2;0;0;0;1;1;1;;1;2;
2014;2;14;1;A;*096289605;;15;4;1;1;0;0;2;2;1;;2;2;
2014;2;14;1;2 spots;*096301866;;16;4;2;1;1;0;3;3;1;;2;2;
2014;2;14;1;circle;*096343346;;17;4;2;1;1;1;4+;4;0;;1;2;
2014;2;14;1;equal;*096339304;;18;4;2;1;0;0;2;2;1;;1;3;
2014;2;14;1;U triangle;*096293305;;19;4;2;1;0;0;2;2;1;;2;2;
2014;2;18;1;M;*096332860;;20;4;2;0;0;0;1;1;1;;1;2;
2014;2;18;1;sad face;*096281114;;21;4;2;0;0;0;1;1;1;;1;2;
2014;2;18;1;divided;*096304800;;22;;1;0;0;0;1+;1;0;;2;1;
2014;2;18;1;feather;*096298874;;23;;1;1;0;0;2+;2;0;;2;3;
2014;2;18;1;T;*096275802;;24;;1;0;0;0;1+;1;0;;1;1;
2014;2;18;1;arrows;*096303285;;25;;1;0;0;0;1+;1;0;;1;1;
2014;2;18;1;V;*096338108;;26;4;2;1;0.5;0;3;3;1;;2;2;
2014;2;18;1;hourglass;*096308877;;27;;1;1;0;0;2+;2;0;;1;1;
2014;2;20;1;percent;456B060F60;;28;4;2;1;1;1;4+;4;0;;2;2;
2014;2;20;1;EE;442D69185F;;29;;1;1;0;0;2+;2;0;;2;1;
2014;2;20;1;4 dots;470A367304;;30;;1;1;0;0;2+;2;0;;1;1;
2014;2;20;1;open circle;456A794A76;;31;;1;1;1;1;4+;4;0;;1;1;
2014;2;22;1;K;470A2C0F00;;32;;1;1;1;0;3+;3;0;;1;1;
2014;2;22;1;101;46FB627400;;33;4;2;0;0;0;1;1;1;;1;2;
2014;2;22;1;U corporal;470421417F;;34;;1;0;0;0;1+;1;0;;1;1;
2014;2;24;1;Lanzarote;4704700505;;35;;1;0;0;0;1+;1;0;;2;1;
2014;2;24;1;2 plus;*096324839;;36;;1;1;0;0;2+;2;0;;1;1;
2014;2;24;1;anchor;467C7C3248;;37;;1;1;1;0;3+;3;0;;1;1;
2014;3;2;2;LL;*44662F0720;;38;;1;0;0;0;1+;1;0;;1;1;
2014;3;2;2;Sweat heart;*4367336321;;39;4;2;0;0;0;1;1;1;;1;2;
2014;3;2;2;Bow tie;*456D7C294C;;40;;1;1;0;0;2+;2;0;;1;1;
2014;3;2;2;diamond;*43663A5642;;41;;1;1;1;0;3+;3;0;;1;1;
