Binomial;Phylo;Intro;Est;Spread;NoLocs;Founders;LG;BM;GT;WA;NBM;LS;LY;AFB;RL;ref
Atlantoxerus_getulus;Atlantoxerus_getulus;1;1;1;1;2;9;220;43.5;66;8.1;2.9;1;305.1;1522.154545;Machado 1979
Callosciurus_erythreus;Callosciurus_erythreus;1;1;0;28;10;17;366.1;48;45;NA;2;2;365;5840;Lurz et al 2013
Callosciurus_erythreus;Callosciurus_erythreus;1;1;1;28;50;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;1;28;100;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;1;28;9;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;1;28;5;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;1;28;10;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;1;28;10;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;0;28;15;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;1;28;15;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;1;28;4;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_erythreus;Callosciurus_erythreus;1;1;0;28;2;17;366.1;48;45;NA;2;2;365;5840;
Callosciurus_finlaysonii;Callosciurus_finlaysonii;1;1;0;3;4;12.8;278;NA;NA;NA;1.5;3;730;3942;Liu 2015
Callosciurus_finlaysonii;Callosciurus_finlaysonii;1;1;0;3;7;12.8;278;NA;NA;NA;1.5;3;730;3942;
Cynomys_ludovicianus;Cynomys_ludovicianus;1;1;0;2;NA;11;797.05;33.46;45.57;15.24;4.43;1;798.661632;3216.338368;
Funambulus_pennantii;Funambulus_pennantii;1;1;0;2;5;7;102.49;41.77;56;6.54;2.95;2.5;233.754624;2321.245376;"Capellini et al. 2015; Stalder 2009"
Funambulus_pennantii;Funambulus_pennantii;1;0;0;2;5;7;102.49;41.77;56;6.54;2.95;2.5;233.754624;2321.245376;
Marmota_bobak;Marmota_bobak;1;1;0;3;NA;15;7300;40.49;37.5;35.5;6.2;1;1095.7248;4379.2752;
Marmota_camtschatica;Marmota_camtschatica;1;0;0;1;NA;NA;3750;31;36;32.99;4.99;0.5;1095.7248;NA;Bylo 2013
Marmota_monax;Marmota_monax;1;0;0;2;NA;14;3880.93;31.5;43.83;27.19;4.1;1;542.079408;4567.920592;
Sciurotamias_davidianus;Sciurotamias_davidianus;1;1;1;1;NA;;;;;;;;;;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;4;7;620;43;70;NA;3.5;1;327;2228;Marks 2014
Sciurus_aberti;Sciurus_aberti;1;1;1;14;100;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;91;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;42;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;8;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;4;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;59;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;111;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;43;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;69;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;21;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;16;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;1;1;14;13;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;0;0;14;12;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_aberti;Sciurus_aberti;1;0;0;14;2;7;620;43;70;NA;3.5;1;327;2228;
Sciurus_anomalus;Sciurus_anomalus;1;0;0;2;NA;NA;335.3;NA;NA;NA;4;2;170.5;NA;"Koprowski et al. 2016; Nakanishi 2013"
Sciurus_aureogaster;Sciurus_aureogaster;1;1;1;2;4;11.5;455.57;NA;NA;NA;1.94;NA;NA;NA;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;4;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;0;0;50;3;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;10;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;3;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;100;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;5;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;25;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;91;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;36;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;4;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;5;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;8;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;2;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;5;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;14;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;4;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;2;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;1;50;6;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
Sciurus_carolinensis;Sciurus_carolinensis;1;1;0;50;8;24;545.4;44.79;69.47;15.17;2.98;2;365;8395;
