fromdate;age;certainty
birth;376;certain
birth;350;certain
birth;355;certain
birth;352;certain
birth;349;certain
birth;348;certain
birth;347;certain
birth;270;certain
emergence;360.3;certain
emergence;355.3;certain
emergence;360.3;certain
emergence;350.3;certain
emergence;354.3;certain
emergence;351.3;certain
emergence;349.3;certain
emergence;345.3;certain
emergence;352.3;certain
emergence;269.3;certain
emergence;352.3;certain
emergence;349.3;certain
emergence;339.3;certain
emergence;338.3;certain
emergence;356.3;certain
emergence;353.3;uncertain
emergence;341.3;uncertain
emergence;357.3;uncertain
emergence;348.3;uncertain
