male juveniles;female juveniles;year;sex;juveniles
1;3;2014;males;1
2;1;2014;males;2
1;2;2014;males;1
0;1;2014;males;0
1;0;2014;males;1
2;2;2014;males;2
0;1;2014;males;0
2;0;2014;males;2
1;1;2014;males;1
1;1;2014;males;1
2;1;2014;males;2
1;1;2014;males;1
1;1;2014;males;1
1;0;2014;females;3
2;1;2014;females;1
5;3;2014;females;2
1;1;2014;females;1
0;1;2014;females;0
1;1;2014;females;2
0;4;2014;females;1
2;2;2014;females;0
3;1;2014;females;1
1;3;2014;females;1
0;1;2014;females;1
0;2;2014;females;1
2;0;2014;females;1
4;0;2015;males;1
2;2;2015;males;2
3;2;2015;males;5
0;1;2015;males;1
2;0;2015;males;0
0;3;2015;males;1
2;2;2015;males;0
0;3;2015;males;2
0;2;2015;males;3
3;0;2015;males;1
2;4;2015;males;0
3;1;2015;males;0
3;2;2015;males;2
1;2;2015;females;0
2;1;2015;females;1
2;2;2015;females;3
0;2;2015;females;1
2;1;2015;females;1
2;0;2015;females;1
;;2015;females;4
;;2015;females;2
;;2015;females;1
;;2015;females;3
;;2015;females;1
;;2015;females;2
;;2015;females;0
;;2016;males;4
;;2016;males;2
;;2016;males;3
;;2016;males;0
;;2016;males;2
;;2016;males;0
;;2016;males;2
;;2016;males;0
;;2016;males;0
;;2016;males;3
;;2016;males;2
;;2016;males;3
;;2016;males;3
;;2016;males;1
;;2016;males;2
;;2016;males;2
;;2016;males;0
;;2016;males;2
;;2016;males;2
;;2016;females;0
;;2016;females;2
;;2016;females;2
;;2016;females;1
;;2016;females;0
;;2016;females;3
;;2016;females;2
;;2016;females;3
;;2016;females;2
;;2016;females;0
;;2016;females;4
;;2016;females;1
;;2016;females;2
;;2016;females;2
;;2016;females;1
;;2016;females;2
;;2016;females;2
;;2016;females;1
;;2016;females;0
